"co_ano","co_mes","produtos","pais_origem","co_via","kg_liquido","vlr"
1997,6,"OutrosProd","Outros","06",21648518,6425272
1997,6,"OutrosProd","Outros","07",494088089,456490558
1997,6,"OutrosProd","Outros","08",0,89171716
1997,6,"OutrosProd","Outros","09",1232598,26417950
1997,6,"OutrosProd","Russia","01",4517600,7853772
1997,6,"OutrosProd","Russia","04",78,460858
1997,6,"OutrosProd","Russia","09",690,38000
1997,6,"OutrosProd","Ucrania","01",18660516,3540325
1997,6,"OutrosProd","Ucrania","04",956,7343
1997,6,"Petroleo","Outros","01",1228475242,239200228
1997,6,"Petroleo","Outros","02",2230900,138316
1997,6,"Petroleo","Outros","04",21230,173493
1997,6,"Petroleo","Outros","07",275635,85804
1997,7,"Fertilizantes","Outros","01",566546558,129405500
1997,7,"Fertilizantes","Outros","04",269948,5661832
1997,7,"Fertilizantes","Outros","05",11,1368
1997,7,"Fertilizantes","Outros","06",280000,71770
1997,7,"Fertilizantes","Outros","07",4873285,3119631
1997,7,"Fertilizantes","Russia","01",76074700,10906839
1997,7,"Fertilizantes","Ucrania","01",16328500,2717805
1997,7,"OutrosProd","Outros","01",5039759281,3410403203
1997,7,"OutrosProd","Outros","04",22254571,1410732471
1997,7,"OutrosProd","Outros","05",7670,736282
1997,7,"OutrosProd","Outros","06",29451035,10433942
1997,7,"OutrosProd","Outros","07",598416925,524957466
1997,7,"OutrosProd","Outros","08",0,89263864
1997,7,"OutrosProd","Outros","09",3017596,26079741
1997,7,"OutrosProd","Russia","01",41436358,19762191
1997,7,"OutrosProd","Russia","04",1330,42572
1997,7,"OutrosProd","Russia","07",5350,22900
1997,7,"OutrosProd","Ucrania","01",58458,98493
1997,7,"Petroleo","Outros","01",1029044228,207151619
1997,7,"Petroleo","Outros","04",10683,341146
1997,7,"Petroleo","Outros","07",634705,242732
1997,8,"Fertilizantes","Outros","01",582127407,132299727
1997,8,"Fertilizantes","Outros","04",251858,5237144
1997,8,"Fertilizantes","Outros","05",12,1622
1997,8,"Fertilizantes","Outros","07",3336184,2818504
1997,8,"Fertilizantes","Russia","01",160895937,21818318
1997,8,"Fertilizantes","Ucrania","01",18646686,4122308
1997,8,"OutrosProd","Outros","01",4643901070,3298684923
1997,8,"OutrosProd","Outros","02",5898000,1008000
1997,8,"OutrosProd","Outros","04",19663354,1148891988
1997,8,"OutrosProd","Outros","05",8025,970876
